county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
1001,"autauga, alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA",Montgomery,AL,MSA,Montgomery,AL,"Montgomery, AL"
1003,"baldwin, alabama",C1930,"Daphne-Fairhope-Foley, AL MSA",CS380,"Mobile-Daphne-Fairhope, AL CSA",Daphne-Fairhope-Foley,AL,MSA,Daphne,AL,"Daphne, AL"
1007,"bibb, alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1009,"blount, alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1015,"calhoun, alabama",C1150,"Anniston-Oxford, AL MSA",,,Anniston-Oxford,AL,MSA,Anniston,AL,"Anniston, AL"
1021,"chilton, alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1033,"colbert, alabama",C2252,"Florence-Muscle Shoals, AL MSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA",Florence-Muscle Shoals,AL,MSA,Florence,AL,"Florence, AL"
1051,"elmore, alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA",Montgomery,AL,MSA,Montgomery,AL,"Montgomery, AL"
1055,"etowah, alabama",C2346,"Gadsden, AL MSA",,,Gadsden,AL,MSA,Gadsden,AL,"Gadsden, AL"
1061,"geneva, alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA",Dothan,AL,MSA,Dothan,AL,"Dothan, AL"
1063,"greene, alabama",C4622,"Tuscaloosa, AL MSA",,,Tuscaloosa,AL,MSA,Tuscaloosa,AL,"Tuscaloosa, AL"
1065,"hale, alabama",C4622,"Tuscaloosa, AL MSA",,,Tuscaloosa,AL,MSA,Tuscaloosa,AL,"Tuscaloosa, AL"
1067,"henry, alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA",Dothan,AL,MSA,Dothan,AL,"Dothan, AL"
1069,"houston, alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA",Dothan,AL,MSA,Dothan,AL,"Dothan, AL"
1073,"jefferson, alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1077,"lauderdale, alabama",C2252,"Florence-Muscle Shoals, AL MSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA",Florence-Muscle Shoals,AL,MSA,Florence,AL,"Florence, AL"
1079,"lawrence, alabama",C1946,"Decatur, AL MSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA",Decatur,AL,MSA,Decatur,AL,"Decatur, AL"
