state,"totalvotes, 2020",county_name,"trump votecount, 2020","trump %, 2020","trump %, 2024","trump votecount, 2024","totalvotes, 2024",LSAD_TRANS,2020-2024 swing
alabama,27770.0,autauga,19838.0,71.4368023046453,72.43003896563938,20447.0,28230.0,county,0.9932366609940857
alabama,109679.0,baldwin,83544.0,76.17137282433283,78.36393137472923,95144.0,121413.0,county,2.1925585503963987
alabama,10518.0,barbour,5622.0,53.45122646891044,56.982327101849016,5578.0,9789.0,county,3.531100632938575
alabama,9595.0,bibb,7525.0,78.42626367899948,81.7975340687865,7563.0,9246.0,county,3.3712703897870284
alabama,27588.0,blount,24711.0,89.5715528490648,90.02208606440581,25271.0,28072.0,county,0.4505332153410109
alabama,4613.0,bullock,1146.0,24.842835464990245,26.74616695059625,1099.0,4109.0,county,1.9033314856060066
alabama,9488.0,butler,5458.0,57.52529510961214,60.989140698772424,5167.0,8472.0,county,3.463845589160286
alabama,50983.0,calhoun,35101.0,68.84843967597043,71.75130771448576,34841.0,48558.0,county,2.9028680385153365
alabama,15284.0,chambers,8753.0,57.26903951845067,61.149360685682176,8704.0,14234.0,county,3.880321167231507
alabama,12301.0,cherokee,10583.0,86.03365580034144,87.33348733348734,11342.0,12987.0,county,1.2998315331459054
alabama,19310.0,chilton,16085.0,83.29880890730192,85.60502456566884,16901.0,19743.0,county,2.3062156583669235
alabama,7464.0,choctaw,4296.0,57.556270096463024,61.628782176727384,4094.0,6643.0,county,4.07251208026436
alabama,13135.0,clarke,7324.0,55.75942139322421,58.26283608342408,6956.0,11939.0,county,2.503414690199868
alabama,6930.0,clay,5601.0,80.82251082251082,84.7298705164459,5693.0,6719.0,county,3.907359693935078
alabama,7227.0,cleburne,6484.0,89.71910889719109,91.32993330717929,6984.0,7647.0,county,1.6108244099881972
alabama,22275.0,coffee,16899.0,75.86531986531988,78.41261285541033,17457.0,22263.0,county,2.5472929900904546
alabama,27886.0,colbert,19203.0,68.8625116545937,72.60679647590138,19614.0,27014.0,county,3.744284821307673
alabama,6441.0,conecuh,3442.0,53.43890700201832,56.56916212196331,3423.0,6051.0,county,3.130255119944991
