fips,msa,category,cumulative biden rpp percent change,year,rpp
00000,united states,all items,0.0,2008,100
00000,united states,goods,0.0010045304322399663,2008,99.497
00000,united states,housing,-0.006958112164773067,2008,100.423
00000,united states,utilities,0.1784935549628327,2008,98.516
00000,united states,other services,0.017967299514883593,2008,100.308
00999,united states (nonmetropolitan portion),all items,0.26599658166094997,2008,86.54
00999,united states (nonmetropolitan portion),goods,-0.7568580500754816,2008,89.766
00999,united states (nonmetropolitan portion),housing,-0.003363775501627133,2008,61.624
00999,united states (nonmetropolitan portion),utilities,0.2761729063331971,2008,84.056
00999,united states (nonmetropolitan portion),other services,-0.5420748452678571,2008,96.64
10180,abilene,all items,1.5047909889574889,2008,92.141
10180,abilene,goods,-2.830737279335409,2008,96.484
10180,abilene,housing,14.112555422725977,2008,69.648
10180,abilene,utilities,1.5597859665893306,2008,98.494
10180,abilene,other services,-2.223362924492223,2008,97.743
10420,akron,all items,-1.5517056999251497,2008,92.516
10420,akron,goods,-1.7951369271605042,2008,90.32
10420,akron,housing,-6.421188946172454,2008,84.898
10420,akron,utilities,-1.8468557390713052,2008,110.68
10420,akron,other services,0.041010078226716054,2008,95.422
10500,albany,all items,2.9591581355992678,2008,86.45
10500,albany,goods,0.026247821430827212,2008,96.786
10500,albany,housing,0.8619999999999948,2008,50.702
10500,albany,utilities,-0.11517704356983456,2008,86.528
10500,albany,other services,4.5145421865310045,2008,97.65
10540,albany-lebanon,all items,2.07335278219551,2008,99.418
10540,albany-lebanon,goods,4.47493747544534,2008,102.253
10540,albany-lebanon,housing,-6.191184693094267,2008,91.896
10540,albany-lebanon,utilities,-7.945389906809434,2008,72.68
10540,albany-lebanon,other services,4.1644250503118405,2008,102.465
10580,albany-schenectady-troy,all items,-2.578718510073747,2008,102.702
10580,albany-schenectady-troy,goods,-2.126385449230643,2008,101.337
10580,albany-schenectady-troy,housing,-3.273373771177588,2008,104.625
10580,albany-schenectady-troy,utilities,-0.44727179316702653,2008,143.349
10580,albany-schenectady-troy,other services,-2.8322834091890994,2008,101.171
10740,albuquerque,all items,-0.8157022686719355,2008,96.951
10740,albuquerque,goods,0.5908312882803072,2008,95.837
10740,albuquerque,housing,2.8716294611778834,2008,96.454
10740,albuquerque,utilities,-0.10406200660255885,2008,85.067
10740,albuquerque,other services,-3.406348907900107,2008,98.909
10780,alexandria,all items,-1.3813861930049531,2008,89.656
10780,alexandria,goods,-0.7423936378345776,2008,96.811
10780,alexandria,housing,-13.24783236994219,2008,58.399
10780,alexandria,utilities,9.437838264923165,2008,88.863
10780,alexandria,other services,-2.0669083750966735,2008,98.043
10900,allentown-bethlehem-easton,all items,-1.64810913832882,2008,101.139
10900,allentown-bethlehem-easton,goods,-1.2251055514493645,2008,101.261
10900,allentown-bethlehem-easton,housing,1.4559326544895401,2008,100.083
10900,allentown-bethlehem-easton,utilities,-2.299121084026545,2008,113.557
10900,allentown-bethlehem-easton,other services,-2.6960068482803834,2008,100.794
11020,altoona,all items,-0.7503874586060431,2008,93.979
11020,altoona,goods,-1.0706507976702841,2008,101.025
11020,altoona,housing,-0.8891107044492403,2008,61.009
11020,altoona,utilities,-1.385226657034488,2008,113.907
11020,altoona,other services,-2.746527812748647,2008,101.318
11100,amarillo,all items,-2.9154148859645415,2008,95.758
11100,amarillo,goods,-2.830737279335409,2008,96.973
11100,amarillo,housing,-6.655505441097463,2008,86.014
11100,amarillo,utilities,3.772113874270522,2008,97.972
11100,amarillo,other services,-2.223362924492223,2008,98.229
11180,ames,all items,-5.271387568007537,2008,82.432
11180,ames,goods,-2.347746937152781,2008,76.969
11180,ames,housing,-19.98441381325799,2008,67.181
11180,ames,utilities,1.2980146182157435,2008,79.662
11180,ames,other services,-4.609660804410676,2008,93.585
11260,anchorage,all items,-0.11726169709657065,2008,106.497
11260,anchorage,goods,4.422587178407429,2008,108.062
11260,anchorage,housing,13.281289196158891,2008,122.419
11260,anchorage,utilities,-21.81123584592598,2008,86.755
11260,anchorage,other services,-4.594553620496886,2008,103.194
11460,ann arbor,all items,-0.8437661823387745,2008,103.617
11460,ann arbor,goods,-1.9156228977800525,2008,99.883
11460,ann arbor,housing,0.5658445295810502,2008,126.265
11460,ann arbor,utilities,-5.529606312918858,2008,99.543
11460,ann arbor,other services,0.25165210630766527,2008,100.212
11500,anniston-oxford,all items,-2.239449755187697,2008,88.183
11500,anniston-oxford,goods,0.2670453341245738,2008,96.729
11500,anniston-oxford,housing,-13.998808448484612,2008,54.838
