,county code,county,msa code,msa title,csa code,csa title,msa_name,msa_first,state,msa_short
0,1001,"autauga, alabama",c3386,"montgomery, al msa",cs388,"montgomery-selma, al csa",montgomery,montgomery,al,"montgomery, al"
1,1003,"baldwin, alabama",c1930,"daphne-fairhope-foley, al msa",cs380,"mobile-daphne-fairhope, al csa",daphne-fairhope-foley,daphne,al,"daphne, al"
2,1005,"barbour, alabama",c2164,"eufaula, al-ga microsa",,,eufaula,eufaula,,
3,1007,"bibb, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
4,1009,"blount, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
5,1015,"calhoun, alabama",c1150,"anniston-oxford, al msa",,,anniston-oxford,anniston,al,"anniston, al"
6,1017,"chambers, alabama",c2930,"lagrange, ga-al microsa",cs122,"atlanta--athens-clarke county--sandy springs, ga-al csa",lagrange,lagrange,,
7,1021,"chilton, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
8,1031,"coffee, alabama",c2146,"enterprise, al microsa",cs222,"dothan-enterprise-ozark, al csa",enterprise,enterprise,,
9,1033,"colbert, alabama",c2252,"florence-muscle shoals, al msa",cs250,"florence-muscle shoals-russellville, al csa",florence-muscle shoals,florence,al,"florence, al"
10,1037,"coosa, alabama",c4518,"talladega-sylacauga, al microsa",cs142,"birmingham-cullman-talladega, al csa",talladega-sylacauga,talladega,,
11,1043,"cullman, alabama",c1898,"cullman, al microsa",cs142,"birmingham-cullman-talladega, al csa",cullman,cullman,,
12,1045,"dale, alabama",c3712,"ozark, al microsa",cs222,"dothan-enterprise-ozark, al csa",ozark,ozark,,
13,1047,"dallas, alabama",c4282,"selma, al microsa",cs388,"montgomery-selma, al csa",selma,selma,,
14,1049,"dekalb, alabama",c2284,"fort payne, al microsa",cs290,"huntsville-decatur-albertville, al-tn csa",fort payne,fort payne,,
15,1051,"elmore, alabama",c3386,"montgomery, al msa",cs388,"montgomery-selma, al csa",montgomery,montgomery,al,"montgomery, al"
16,1055,"etowah, alabama",c2346,"gadsden, al msa",,,gadsden,gadsden,al,"gadsden, al"
17,1059,"franklin, alabama",c4077,"russellville, al microsa",cs250,"florence-muscle shoals-russellville, al csa",russellville,russellville,,
18,1061,"geneva, alabama",c2002,"dothan, al msa",cs222,"dothan-enterprise-ozark, al csa",dothan,dothan,al,"dothan, al"
19,1063,"greene, alabama",c4622,"tuscaloosa, al msa",,,tuscaloosa,tuscaloosa,al,"tuscaloosa, al"
20,1065,"hale, alabama",c4622,"tuscaloosa, al msa",,,tuscaloosa,tuscaloosa,al,"tuscaloosa, al"
21,1067,"henry, alabama",c2002,"dothan, al msa",cs222,"dothan-enterprise-ozark, al csa",dothan,dothan,al,"dothan, al"
22,1069,"houston, alabama",c2002,"dothan, al msa",cs222,"dothan-enterprise-ozark, al csa",dothan,dothan,al,"dothan, al"
23,1071,"jackson, alabama",c4246,"scottsboro, al microsa",cs174,"chattanooga-cleveland-dalton, tn-ga-al csa",scottsboro,scottsboro,,
24,1073,"jefferson, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
25,1077,"lauderdale, alabama",c2252,"florence-muscle shoals, al msa",cs250,"florence-muscle shoals-russellville, al csa",florence-muscle shoals,florence,al,"florence, al"
26,1079,"lawrence, alabama",c1946,"decatur, al msa",cs290,"huntsville-decatur-albertville, al-tn csa",decatur,decatur,al,"decatur, al"
27,1081,"lee, alabama",c1222,"auburn-opelika, al msa",cs194,"columbus-auburn-opelika, ga-al csa",auburn-opelika,auburn,al,"auburn, al"
28,1083,"limestone, alabama",c2662,"huntsville, al msa",cs290,"huntsville-decatur-albertville, al-tn csa",huntsville,huntsville,al,"huntsville, al"
29,1085,"lowndes, alabama",c3386,"montgomery, al msa",cs388,"montgomery-selma, al csa",montgomery,montgomery,al,"montgomery, al"
