category,divisions,series_id,year,period,price_index
motor fuel,New England,CUUR0110SETB,2024,M10,122.012
motor fuel,New England,CUUR0110SETB,2024,M09,126.997
motor fuel,New England,CUUR0110SETB,2024,M08,135.545
motor fuel,New England,CUUR0110SETB,2024,M07,139.723
motor fuel,New England,CUUR0110SETB,2024,M06,138.566
motor fuel,New England,CUUR0110SETB,2024,M05,143.079
motor fuel,New England,CUUR0110SETB,2024,M04,138.959
motor fuel,New England,CUUR0110SETB,2024,M03,130.968
motor fuel,New England,CUUR0110SETB,2024,M02,127.302
motor fuel,New England,CUUR0110SETB,2024,M01,124.290
motor fuel,New England,CUUR0110SETB,2023,M12,128.866
motor fuel,New England,CUUR0110SETB,2023,M11,135.324
motor fuel,New England,CUUR0110SETB,2023,M10,144.076
motor fuel,New England,CUUR0110SETB,2023,M09,149.071
motor fuel,New England,CUUR0110SETB,2023,M08,148.799
motor fuel,New England,CUUR0110SETB,2023,M07,142.135
motor fuel,New England,CUUR0110SETB,2023,M06,140.985
motor fuel,New England,CUUR0110SETB,2023,M05,138.562
motor fuel,New England,CUUR0110SETB,2023,M04,136.020
motor fuel,New England,CUUR0110SETB,2023,M03,129.952
motor fuel,New England,CUUR0110SETB,2023,M02,132.488
motor fuel,New England,CUUR0110SETB,2023,M01,130.793
motor fuel,New England,CUUR0110SETB,2022,M12,134.239
motor fuel,New England,CUUR0110SETB,2022,M11,149.645
motor fuel,New England,CUUR0110SETB,2022,M10,140.006
motor fuel,New England,CUUR0110SETB,2022,M09,142.063
motor fuel,New England,CUUR0110SETB,2022,M08,163.393
motor fuel,New England,CUUR0110SETB,2022,M07,180.347
motor fuel,New England,CUUR0110SETB,2022,M06,194.452
motor fuel,New England,CUUR0110SETB,2022,M05,178.041
motor fuel,New England,CUUR0110SETB,2022,M04,159.064
motor fuel,New England,CUUR0110SETB,2022,M03,167.245
motor fuel,New England,CUUR0110SETB,2022,M02,139.910
motor fuel,New England,CUUR0110SETB,2022,M01,134.221
motor fuel,New England,CUUR0110SETB,2021,M12,135.470
motor fuel,New England,CUUR0110SETB,2021,M11,136.403
motor fuel,New England,CUUR0110SETB,2021,M10,130.371
motor fuel,New England,CUUR0110SETB,2021,M09,123.239
