fips,county
2013.0,aleutians east
2016.0,aleutians west
2013.0,aleutians east
2016.0,aleutians west
2020.0,anchorage
2050.0,bethel
2060.0,bristol bay
2063.0,chugach
2066.0,copper river
2068.0,denali
2070.0,dillingham
2090.0,fairbanks north star
2100.0,haines
2105.0,hoonah-angoon
2110.0,juneau
2122.0,kenai peninsula
2130.0,ketchikan gateway
2150.0,kodiak island
2164.0,lake and peninsula
2170.0,matanuska-susitna
2180.0,nome
2185.0,north slope borouh
2188.0,northwest artic
2195.0,petersburg
2198.0,prince of wales-hyder
2220.0,sitka
2230.0,skagway-yakutat
2240.0,southeast fairbanks
2158.0,kusilvak
2275.0,wrangell city
2282.0,yakutat
2290.0,yukon-koyukuk
1001.0,autauga
1003.0,baldwin
1005.0,barbour
1007.0,bibb
1009.0,blount
1011.0,bullock
1013.0,butler
1015.0,calhoun
1017.0,chambers
1019.0,cherokee
1021.0,chilton
1023.0,choctaw
1025.0,clarke
1027.0,clay
1029.0,cleburne
1031.0,coffee
1033.0,colbert
1035.0,conecuh
1037.0,coosa
1039.0,covington
1041.0,crenshaw
1043.0,cullman
1045.0,dale
1047.0,dallas
1049.0,de kalb
1051.0,elmore
1053.0,escambia
1055.0,etowah
1057.0,fayette
1059.0,franklin
1061.0,geneva
1063.0,greene
1065.0,hale
1067.0,henry
1069.0,houston
1071.0,jackson
1073.0,jefferson
1075.0,lamar
1077.0,lauderdale
1079.0,lawrence
1081.0,lee
1083.0,limestone
1085.0,lowndes
1087.0,macon
1089.0,madison
1091.0,marengo
1093.0,marion
1095.0,marshall
1097.0,mobile
1099.0,monroe
1101.0,montgomery
1103.0,morgan
1105.0,perry
1107.0,pickens
1109.0,pike
1111.0,randolph
1113.0,russell
1115.0,st. clair
1117.0,shelby
1119.0,sumter
1121.0,talladega
1123.0,tallapoosa
1125.0,tuscaloosa
1127.0,walker
1129.0,washington
1131.0,wilcox
1133.0,winston
5001.0,arkansas
5003.0,ashley
5005.0,baxter
5007.0,benton
5009.0,boone
5011.0,bradley
5013.0,calhoun
5015.0,carroll
5017.0,chicot
5019.0,clark
5021.0,clay
5023.0,cleburne
5025.0,cleveland
5027.0,columbia
5029.0,conway
5031.0,craighead
5033.0,crawford
5035.0,crittenden
5037.0,cross
5039.0,dallas
5041.0,desha
5043.0,drew
5045.0,faulkner
5047.0,franklin
5049.0,fulton
5051.0,garland
5053.0,grant
5055.0,greene
5057.0,hempstead
5059.0,hot spring
5061.0,howard
5063.0,independence
5065.0,izard
5067.0,jackson
5069.0,jefferson
5071.0,johnson
5073.0,lafayette
5075.0,lawrence
5077.0,lee
5079.0,lincoln
5081.0,little river
5083.0,logan
5085.0,lonoke
5087.0,madison
5089.0,marion
5091.0,miller
5093.0,mississippi
5095.0,monroe
5097.0,montgomery
5099.0,nevada
5101.0,newton
5103.0,ouachita
5105.0,perry
5107.0,phillips
5109.0,pike
5111.0,poinsett
5113.0,polk
5115.0,pope
5117.0,prairie
5119.0,pulaski
5121.0,randolph
5123.0,st. francis
5125.0,saline
5127.0,scott
5129.0,searcy
5131.0,sebastian
5133.0,sevier
5135.0,sharp
5137.0,stone
5139.0,union
5141.0,van buren
5143.0,washington
5145.0,white
5147.0,woodruff
5149.0,yell
4001.0,apache
4003.0,cochise
4005.0,coconino
4007.0,gila
4009.0,graham
4011.0,greenlee
4012.0,lapaz
4013.0,maricopa
4015.0,mohave
4017.0,navajo
4019.0,pima
4021.0,pinal
4023.0,santa cruz
4025.0,yavapai
4027.0,yuma
6001.0,alameda
6003.0,alpine
6005.0,amador
6007.0,butte
6009.0,calaveras
6011.0,colusa
6013.0,contra costa
6015.0,del norte
6017.0,el dorado
6019.0,fresno
6021.0,glenn
6023.0,humboldt
6025.0,imperial
6027.0,inyo
6029.0,kern
6031.0,kings
6033.0,lake
6035.0,lassen
6037.0,los angeles
6037.0,los angeles
6039.0,madera
6041.0,marin
6043.0,mariposa
6045.0,mendocino
6047.0,merced
6049.0,modoc
6051.0,mono
6053.0,monterey
6055.0,napa
6057.0,nevada
6059.0,orange
6061.0,placer
6063.0,plumas
6065.0,riverside
6067.0,sacramento
6069.0,san benito
6071.0,san bernardino
6073.0,san diego
6075.0,san francisco
6077.0,san joaquin
6079.0,san luis obispo
6081.0,san mateo
6083.0,santa barbara
6085.0,santa clara
6087.0,santa cruz
6089.0,shasta
6091.0,sierra
6093.0,siskiyou
6095.0,solano
6097.0,sonoma
6099.0,stanislaus
6101.0,sutter
6103.0,tehama
6105.0,trinity
6107.0,tulare
6109.0,tuolumne
6111.0,ventura
6113.0,yolo
6115.0,yuba
8001.0,adams
8003.0,alamosa
8005.0,arapahoe
8007.0,archuleta
8009.0,baca
8011.0,bent
8013.0,boulder
8015.0,chaffee
8017.0,cheyenne
8019.0,clear creek
8021.0,conejos
8023.0,costilla
8025.0,crowley
8027.0,custer
8029.0,delta
8031.0,denver
8033.0,dolores
8035.0,douglas
8037.0,eagle
8039.0,elbert
8041.0,el paso
8043.0,fremont
8045.0,garfield
8047.0,gilpin
8049.0,grand
8051.0,gunnison
8053.0,hinsdale
8055.0,huerfano
8057.0,jackson
8059.0,jefferson
8061.0,kiowa
8063.0,kit carson
8065.0,lake
8067.0,la plata
8069.0,larimer
8071.0,las animas
8073.0,lincoln
8075.0,logan
8077.0,mesa
8079.0,mineral
8081.0,moffat
8083.0,montezuma
8085.0,montrose
8087.0,morgan
8089.0,otero
8091.0,ouray
8093.0,park
8095.0,phillips
8097.0,pitkin
8099.0,prowers
8101.0,pueblo
8103.0,rio blanco
8105.0,rio grande
8107.0,routt
8109.0,saguache
8111.0,san juan
8113.0,san miguel
8115.0,sedgwick
8117.0,summit
8119.0,teller
8121.0,washington
8123.0,weld
8125.0,yuma
8014.0,broomfield
,
,
,
