msa,category,cumulative biden inflation
atlanta-sandy springs-roswell,apparel,11.248569744460992
atlanta-sandy springs-roswell,education and communication,0.5167921970057349
atlanta-sandy springs-roswell,food,19.433806645472835
atlanta-sandy springs-roswell,medical care,5.97514184252417
atlanta-sandy springs-roswell,motor fuel,37.07405910609324
atlanta-sandy springs-roswell,recreation,12.727211221866408
atlanta-sandy springs-roswell,rent,30.74194540188035
atlanta-sandy springs-roswell,transportation,33.67545209696037
baltimore-columbia-towson,apparel,-0.13806389468614308
baltimore-columbia-towson,education and communication,5.7040859881261845
baltimore-columbia-towson,food,22.21399111873181
baltimore-columbia-towson,medical care,7.225449757570834
baltimore-columbia-towson,motor fuel,29.541599134325946
baltimore-columbia-towson,recreation,19.417160419505088
baltimore-columbia-towson,rent,19.84845175031401
baltimore-columbia-towson,transportation,42.224148991620226
boston-cambridge-newton,apparel,16.298093700039775
boston-cambridge-newton,education and communication,3.334143434133018
boston-cambridge-newton,food,19.084024222655145
boston-cambridge-newton,medical care,
boston-cambridge-newton,motor fuel,41.905280022359854
boston-cambridge-newton,recreation,1.3579183181113161
boston-cambridge-newton,rent,22.195209724499183
boston-cambridge-newton,transportation,26.03741016392918
chicago-naperville-elgin,apparel,16.83905006702659
chicago-naperville-elgin,education and communication,2.205965587502827
chicago-naperville-elgin,food,21.202753687688194
chicago-naperville-elgin,medical care,7.573190484444884
chicago-naperville-elgin,motor fuel,43.69714775482516
chicago-naperville-elgin,recreation,17.87825965084398
chicago-naperville-elgin,rent,20.833403889030006
chicago-naperville-elgin,transportation,36.26817089777799
dallas-fort worth-arlington,apparel,23.96130975364892
dallas-fort worth-arlington,education and communication,2.1700853621390253
dallas-fort worth-arlington,food,27.108976144063874
dallas-fort worth-arlington,medical care,7.3144070112553745
dallas-fort worth-arlington,motor fuel,34.322615964030994
dallas-fort worth-arlington,recreation,8.805094185911184
dallas-fort worth-arlington,rent,27.328059473231203
dallas-fort worth-arlington,transportation,31.87238011191559
denver-aurora-centennial,apparel,9.85091619311212
denver-aurora-centennial,education and communication,5.046402342550831
denver-aurora-centennial,food,17.292570898824312
denver-aurora-centennial,medical care,13.911126525686655
denver-aurora-centennial,motor fuel,48.09174666449723
denver-aurora-centennial,recreation,17.705488113302994
denver-aurora-centennial,rent,26.01143909414082
denver-aurora-centennial,transportation,33.44568786964774
detroit-warren-dearborn,apparel,6.509952829265429
detroit-warren-dearborn,education and communication,9.696798645270526
detroit-warren-dearborn,food,25.55786434725043
detroit-warren-dearborn,medical care,
detroit-warren-dearborn,motor fuel,49.89743975525964
detroit-warren-dearborn,recreation,10.632931347048151
detroit-warren-dearborn,rent,27.808992911990554
detroit-warren-dearborn,transportation,33.36669195906733
houston-pasadena-the woodlands,apparel,12.662837429100204
houston-pasadena-the woodlands,education and communication,1.1257937758028864
houston-pasadena-the woodlands,food,26.909762890086146
houston-pasadena-the woodlands,medical care,1.7044446643674205
houston-pasadena-the woodlands,motor fuel,38.94852444244199
houston-pasadena-the woodlands,recreation,16.548647247107617
houston-pasadena-the woodlands,rent,20.76462350772052
houston-pasadena-the woodlands,transportation,34.372655926377895
los angeles-long beach-anaheim,apparel,16.326283199045065
los angeles-long beach-anaheim,education and communication,8.152359295054023
los angeles-long beach-anaheim,food,21.525773661962276
los angeles-long beach-anaheim,medical care,15.493565853591523
los angeles-long beach-anaheim,motor fuel,36.92378288784015
los angeles-long beach-anaheim,recreation,20.862470862470865
los angeles-long beach-anaheim,rent,17.757772500926787
los angeles-long beach-anaheim,transportation,29.242911121434005
miami-fort lauderdale-west palm beach,apparel,17.750852924978375
miami-fort lauderdale-west palm beach,education and communication,8.37477653177313
miami-fort lauderdale-west palm beach,food,11.52441120852673
miami-fort lauderdale-west palm beach,medical care,7.301062952129649
miami-fort lauderdale-west palm beach,motor fuel,36.048188398876945
miami-fort lauderdale-west palm beach,recreation,12.077086082123849
miami-fort lauderdale-west palm beach,rent,40.48005219140472
miami-fort lauderdale-west palm beach,transportation,28.588942969969693
minneapolis-st. paul-bloomington,apparel,13.02009745970417
minneapolis-st. paul-bloomington,education and communication,2.785037919362445
minneapolis-st. paul-bloomington,food,22.085757548487578
minneapolis-st. paul-bloomington,medical care,5.87645963784059
minneapolis-st. paul-bloomington,motor fuel,39.660553718330654
minneapolis-st. paul-bloomington,recreation,6.851770281148892
minneapolis-st. paul-bloomington,rent,16.84434190550064
minneapolis-st. paul-bloomington,transportation,29.47996059521958
new york-newark-jersey city,apparel,9.991974949253347
new york-newark-jersey city,education and communication,8.955907235990832
new york-newark-jersey city,food,19.690242334544244
new york-newark-jersey city,medical care,3.1767645782519636
