state,"totalvotes, 2020",county_name,"trump votecount, 2020","trump %, 2020","trump %, 2024","trump votecount, 2024","totalvotes, 2024",LSAD_TRANS,2020-2024 swing,msa,category,cumulative biden inflation,_merge
south dakota,17547.0,brown,10580.0,60.29520715791873,62.45966085783019,10645.0,17043.0,county,2.164453699911455,aberdeen,,,left_only
south dakota,1985.0,edmunds,1538.0,77.48110831234257,79.66518956179222,1618.0,2031.0,county,2.1840812494496475,aberdeen,,,left_only
washington,38441.0,grays harbor,19877.0,51.70781197159283,51.416929060937214,19432.0,37793.0,county,-0.2908829106556183,aberdeen,,,left_only
texas,6832.0,callahan,6012.0,87.9976580796253,88.43732112192329,6180.0,6988.0,county,0.4396630422979939,abilene,,,left_only
texas,6741.0,jones,5660.0,83.96380358997182,86.19548006333669,5988.0,6947.0,county,2.231676473364871,abilene,,,left_only
texas,55135.0,taylor,39547.0,71.727577763671,74.34180847032499,41198.0,55417.0,county,2.6142307066539985,abilene,,,left_only
oklahoma,15320.0,pontotoc,10805.0,70.52872062663185,72.27494398312903,10967.0,15174.0,county,1.7462233564971823,ada,,,left_only
michigan,53375.0,lenawee,31541.0,59.09320843091335,60.73911386201514,33463.0,55093.0,county,1.645905431101788,adrian,,,left_only
ohio,82872.0,portage,45990.0,55.49522154648132,57.021729511235485,47681.0,83619.0,county,1.5265079647541668,akron,,,left_only
ohio,280473.0,summit,124833.0,44.50802751066948,45.876540330984426,125910.0,274454.0,county,1.3685128203149477,akron,,,left_only
new mexico,23571.0,otero,14521.0,61.605362521742826,62.35871627753485,15117.0,24242.0,county,0.7533537557920269,alamogordo,,,left_only
colorado,7808.0,alamosa,3813.0,48.83452868852459,53.956643170634386,4057.0,7519.0,county,5.122114482109794,alamosa,,,left_only
colorado,4333.0,conejos,2286.0,52.75790445418879,57.45614035087719,2358.0,4104.0,county,4.698235896688402,alamosa,,,left_only
colorado,2094.0,costilla,741.0,35.38681948424069,40.86538461538461,850.0,2080.0,county,5.478565131143924,alamosa,,,left_only
georgia,35311.0,dougherty,10454.0,29.605505366599644,29.258493353028065,9904.0,33850.0,county,-0.3470120135715788,albany,,,left_only
georgia,16714.0,lee,12007.0,71.8379801364126,71.37619853355895,12655.0,17730.0,county,-0.4617816028536481,albany,,,left_only
