state,county_name,msa
alabama,autauga,montgomery
alabama,baldwin,daphne-fairhope-foley
alabama,barbour,eufaula
alabama,bibb,birmingham
alabama,blount,birmingham
alabama,calhoun,anniston-oxford
alabama,chambers,lagrange
alabama,chilton,birmingham
alabama,coffee,enterprise
alabama,colbert,florence-muscle shoals
alabama,coosa,talladega-sylacauga
alabama,cullman,cullman
alabama,dale,ozark
alabama,dallas,selma
alabama,dekalb,fort payne
alabama,elmore,montgomery
alabama,etowah,gadsden
alabama,franklin,russellville
alabama,geneva,dothan
alabama,greene,tuscaloosa
alabama,hale,tuscaloosa
alabama,henry,dothan
alabama,houston,dothan
alabama,jackson,scottsboro
alabama,jefferson,birmingham
alabama,lauderdale,florence-muscle shoals
alabama,lawrence,decatur
alabama,lee,auburn-opelika
alabama,limestone,huntsville
alabama,lowndes,montgomery
alabama,macon,auburn-opelika
alabama,madison,huntsville
alabama,marshall,albertville
alabama,mobile,mobile
alabama,montgomery,montgomery
alabama,morgan,decatur
alabama,pickens,tuscaloosa
alabama,pike,troy
alabama,russell,columbus
alabama,st. clair,birmingham
alabama,shelby,birmingham
alabama,talladega,talladega-sylacauga
alabama,tallapoosa,alexander city
alabama,tuscaloosa,tuscaloosa
alabama,walker,birmingham
alaska,anchorage municipality,anchorage
alaska,fairbanks north star,fairbanks-college
alaska,juneau city and,juneau
alaska,ketchikan gateway,ketchikan
alaska,matanuska-susitna,anchorage
arizona,cochise,sierra vista-douglas
arizona,coconino,flagstaff
arizona,gila,payson
arizona,graham,safford
arizona,maricopa,phoenix-mesa-chandler
arizona,mohave,lake havasu city-kingman
arizona,navajo,show low
arizona,pima,tucson
arizona,pinal,phoenix-mesa-chandler
arizona,santa cruz,nogales
arizona,yavapai,prescott valley-prescott
arizona,yuma,yuma
arkansas,baxter,mountain home
arkansas,benton,fayetteville-springdale-rogers
arkansas,boone,harrison
arkansas,calhoun,camden
arkansas,clark,arkadelphia
arkansas,cleveland,pine bluff
arkansas,columbia,magnolia
arkansas,craighead,jonesboro
arkansas,crawford,fort smith
arkansas,crittenden,memphis
arkansas,faulkner,little rock-north little rock-conway
arkansas,garland,hot springs
arkansas,grant,little rock-north little rock-conway
arkansas,greene,paragould
arkansas,hot spring,malvern
arkansas,independence,batesville
arkansas,jefferson,pine bluff
arkansas,little river,texarkana
arkansas,lonoke,little rock-north little rock-conway
arkansas,madison,fayetteville-springdale-rogers
arkansas,miller,texarkana
arkansas,mississippi,blytheville
arkansas,newton,harrison
arkansas,ouachita,camden
arkansas,perry,little rock-north little rock-conway
arkansas,poinsett,jonesboro
arkansas,pope,russellville
arkansas,pulaski,little rock-north little rock-conway
arkansas,st. francis,forrest city
arkansas,saline,little rock-north little rock-conway
arkansas,sebastian,fort smith
arkansas,union,el dorado
arkansas,washington,fayetteville-springdale-rogers
arkansas,white,searcy
arkansas,yell,russellville
california,alameda,san francisco-oakland-fremont
california,alpine,gardnerville ranchos
california,butte,chico
california,contra costa,san francisco-oakland-fremont
california,del norte,crescent city
california,el dorado,sacramento-roseville-folsom
california,fresno,fresno
california,humboldt,eureka-arcata
california,imperial,el centro
california,inyo,bishop
california,kern,bakersfield-delano
california,kings,hanford-corcoran
california,lake,clearlake
california,lassen,susanville
california,los angeles,los angeles-long beach-anaheim
california,madera,fresno
california,marin,san francisco-oakland-fremont
california,mendocino,ukiah
california,merced,merced
california,monterey,salinas
california,napa,napa
california,nevada,truckee-grass valley
california,orange,los angeles-long beach-anaheim
california,placer,sacramento-roseville-folsom
california,riverside,riverside-san bernardino-ontario
california,sacramento,sacramento-roseville-folsom
california,san benito,san jose-sunnyvale-santa clara
california,san bernardino,riverside-san bernardino-ontario
california,san diego,san diego-chula vista-carlsbad
california,san francisco,san francisco-oakland-fremont
california,san joaquin,stockton-lodi
california,san luis obispo,san luis obispo-paso robles
california,san mateo,san francisco-oakland-fremont
california,santa barbara,santa maria-santa barbara
california,santa clara,san jose-sunnyvale-santa clara
california,santa cruz,santa cruz-watsonville
california,shasta,redding
california,solano,vallejo
california,sonoma,santa rosa-petaluma
california,stanislaus,modesto
california,sutter,yuba city
california,tehama,red bluff
california,tulare,visalia
california,tuolumne,sonora
california,ventura,oxnard-thousand oaks-ventura
california,yolo,sacramento-roseville-folsom
california,yuba,yuba city
colorado,adams,denver-aurora-centennial
colorado,alamosa,alamosa
colorado,arapahoe,denver-aurora-centennial
colorado,boulder,boulder
colorado,broomfield,denver-aurora-centennial
colorado,clear creek,denver-aurora-centennial
colorado,conejos,alamosa
colorado,costilla,alamosa
colorado,denver,denver-aurora-centennial
colorado,douglas,denver-aurora-centennial
colorado,eagle,edwards
colorado,elbert,denver-aurora-centennial
colorado,el paso,colorado springs
colorado,fremont,canon city
colorado,garfield,rifle
colorado,gilpin,denver-aurora-centennial
colorado,jefferson,denver-aurora-centennial
colorado,lake,breckenridge
colorado,la plata,durango
colorado,larimer,fort collins-loveland
colorado,logan,sterling
colorado,mesa,grand junction
colorado,moffat,steamboat springs
colorado,montrose,montrose
colorado,morgan,fort morgan
colorado,park,denver-aurora-centennial
colorado,pitkin,rifle
colorado,pueblo,pueblo
colorado,routt,steamboat springs
colorado,summit,breckenridge
colorado,teller,colorado springs
colorado,weld,greeley
connecticut,capitol,hartford-west hartford-east hartford
connecticut,greater bridgeport,bridgeport-stamford-danbury
connecticut,lower connecticut river valley,hartford-west hartford-east hartford
connecticut,naugatuck valley,waterbury-shelton
connecticut,northeastern connecticut,putnam
connecticut,northwest hills,torrington
connecticut,south central connecticut,new haven
connecticut,southeastern connecticut,norwich-new london-willimantic
connecticut,western connecticut,bridgeport-stamford-danbury
delaware,kent,dover
delaware,new castle,philadelphia-camden-wilmington
delaware,sussex,seaford
,,washington-arlington-alexandria
florida,alachua,gainesville
florida,baker,jacksonville
florida,bay,panama city-panama city beach
florida,brevard,palm bay-melbourne-titusville
florida,broward,miami-fort lauderdale-west palm beach
florida,charlotte,punta gorda
florida,citrus,homosassa springs
florida,clay,jacksonville
florida,collier,naples-marco island
florida,columbia,lake city
florida,desoto,arcadia
florida,duval,jacksonville
florida,escambia,pensacola-ferry pass-brent
florida,flagler,deltona-daytona beach-ormond beach
florida,gadsden,tallahassee
florida,gilchrist,gainesville
florida,glades,clewiston
florida,hendry,clewiston
florida,hernando,tampa-st. petersburg-clearwater
florida,highlands,sebring
florida,hills,tampa-st. petersburg-clearwater
florida,indian river,sebastian-vero beach-west vero corridor
florida,jefferson,tallahassee
florida,lake,orlando-kissimmee-sanford
florida,lee,cape coral-fort myers
florida,leon,tallahassee
florida,levy,gainesville
florida,manatee,north port-bradenton-sarasota
florida,marion,ocala
florida,martin,port st. lucie
florida,miami-dade,miami-fort lauderdale-west palm beach
florida,monroe,key west-key largo
florida,nassau,jacksonville
florida,okaloosa,crestview-fort walton beach-destin
florida,okeechobee,okeechobee
florida,orange,orlando-kissimmee-sanford
florida,osceola,orlando-kissimmee-sanford
florida,palm beach,miami-fort lauderdale-west palm beach
florida,pasco,tampa-st. petersburg-clearwater
florida,pinellas,tampa-st. petersburg-clearwater
florida,polk,lakeland-winter haven
florida,putnam,palatka
florida,st. johns,jacksonville
florida,st. lucie,port st. lucie
florida,santa rosa,pensacola-ferry pass-brent
florida,sarasota,north port-bradenton-sarasota
florida,seminole,orlando-kissimmee-sanford
florida,sumter,wildwood-the villages
florida,volusia,deltona-daytona beach-ormond beach
florida,wakulla,tallahassee
florida,walton,crestview-fort walton beach-destin
florida,washington,panama city-panama city beach
georgia,atkinson,douglas
georgia,baldwin,milledgeville
georgia,barrow,atlanta-sandy springs-roswell
georgia,bartow,atlanta-sandy springs-roswell
georgia,ben hill,fitzgerald
georgia,bibb,macon-bibb county
georgia,brantley,brunswick-st. simons
georgia,brooks,valdosta
georgia,bryan,savannah
georgia,bulloch,statesboro
georgia,burke,augusta-richmond county
georgia,butts,atlanta-sandy springs-roswell
georgia,camden,kingsland
georgia,carroll,atlanta-sandy springs-roswell
georgia,catoosa,chattanooga
georgia,chatham,savannah
georgia,chattahoochee,columbus
georgia,chattooga,summerville
georgia,cherokee,atlanta-sandy springs-roswell
georgia,clarke,athens-clarke county
