GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,rpp_change_20_22,msa,state,msa_short
00000,united states,1.0,rpps: all items,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,united states,,united states
00000,united states,2.0,  rpps: goods,99.497,99.45,99.538,99.533,99.564,99.571,99.584,99.583,99.583,99.564,99.54,99.575,99.549,99.572,99.55,0.0010045304322399663,united states,,united states
00000,united states,3.0,  rpps: services: housing,100.423,100.453,100.389,100.398,100.366,100.369,100.385,100.417,100.387,100.43,100.424,100.386,100.602,100.592,100.595,-0.006958112164773067,united states,,united states
00000,united states,4.0,  rpps: services: utilities,98.516,98.523,98.656,98.648,98.723,98.669,98.557,98.488,98.52,98.542,98.443,98.523,98.603,98.725,98.779,0.1784935549628327,united states,,united states
00000,united states,5.0,  rpps: services: other,100.308,100.305,100.262,100.268,100.249,100.247,100.239,100.222,100.22,100.217,100.241,100.22,100.182,100.181,100.2,0.017967299514883593,united states,,united states
00999,united states (nonmetropolitan portion),1.0,rpps: all items,86.54,86.898,88.713,88.536,88.719,88.967,88.869,88.661,87.89,87.616,89.245,89.381,88.347,88.812,88.582,0.26599658166094997,united states (nonmetropolitan portion),,united states (nonmetropolitan portion)
00999,united states (nonmetropolitan portion),2.0,  rpps: goods,89.766,91.515,96.106,95.444,94.078,94.537,94.537,95.319,95.536,94.802,96.31,96.877,96.055,95.979,95.328,-0.7568580500754816,united states (nonmetropolitan portion),,united states (nonmetropolitan portion)
00999,united states (nonmetropolitan portion),3.0,  rpps: services: housing,61.624,63.117,63.785,64.325,63.779,63.439,63,62.932,62.065,61.617,61.28,61.006,59.457,59.858,59.455,-0.003363775501627133,united states (nonmetropolitan portion),,united states (nonmetropolitan portion)
00999,united states (nonmetropolitan portion),4.0,  rpps: services: utilities,84.056,84.026,87.356,86.559,88.651,88.634,89.958,90.997,91.941,91.975,90.959,90.68,90.523,90.568,90.773,0.2761729063331971,united states (nonmetropolitan portion),,united states (nonmetropolitan portion)
00999,united states (nonmetropolitan portion),5.0,  rpps: services: other,96.64,95.459,95.634,95.139,96.623,97.105,96.917,95.67,94.387,94.299,97.389,97.629,97.588,97.28,97.059,-0.5420748452678571,united states (nonmetropolitan portion),,united states (nonmetropolitan portion)
10180,"abilene, tx (metropolitan statistical area)",1.0,rpps: all items,92.141,89.362,92.924,92.455,94.061,92.484,94.554,92.854,93.274,93.778,92.299,92.385,90.378,91.772,91.738,1.5047909889574889,abilene,tx,abilene
10180,"abilene, tx (metropolitan statistical area)",2.0,  rpps: goods,96.484,94.482,96.484,96.266,96.215,96.538,96.427,95.864,96.28,96.333,94.361,96.12,96.3,96.283,93.574,-2.830737279335409,abilene,tx,abilene
10180,"abilene, tx (metropolitan statistical area)",3.0,  rpps: services: housing,69.648,63.982,72.238,70.345,74.574,69.943,76.865,69.747,70.996,76.718,76.754,75.673,66.083,71.056,75.409,14.112555422725977,abilene,tx,abilene
10180,"abilene, tx (metropolitan statistical area)",4.0,  rpps: services: utilities,98.494,92.349,93.294,88.834,88.587,89.492,93.347,91.561,87.9,83.778,84.064,85.609,85.781,85.4,87.119,1.5597859665893306,abilene,tx,abilene
10180,"abilene, tx (metropolitan statistical area)",5.0,  rpps: services: other,97.743,96.868,98.692,99.475,100.252,99.811,99.945,100.465,101.235,99.563,97.839,96.876,99.354,98.246,97.145,-2.223362924492223,abilene,tx,abilene
10420,"akron, oh (metropolitan statistical area)",1.0,rpps: all items,92.516,95.218,93.26,94.064,95.495,95.242,94.981,95.596,95.343,95.359,94.251,94.668,93.51,93.45,92.059,-1.5517056999251497,akron,oh,akron
10420,"akron, oh (metropolitan statistical area)",2.0,  rpps: goods,90.32,95.503,92.413,95.123,98.058,100.307,97.469,96.773,94.952,95.495,97.25,95.803,93.809,94.33,92.125,-1.7951369271605042,akron,oh,akron
10420,"akron, oh (metropolitan statistical area)",3.0,  rpps: services: housing,84.898,82.794,80.823,80.45,84.14,83.098,77.733,83.326,82.327,82.9,81.409,80.882,81.854,80.352,76.598,-6.421188946172454,akron,oh,akron
10420,"akron, oh (metropolitan statistical area)",4.0,  rpps: services: utilities,110.68,110.998,90.802,90.788,87.057,92.589,90.065,93.512,90.732,83.911,94.325,90.585,91.182,91.88,89.498,-1.8468557390713052,akron,oh,akron
