category,msa,series_id,year,period,price_index
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M10,404.555
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M09,403.973
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M08,402.729
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M07,405.428
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M06,405.754
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M05,405.671
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M04,404.693
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M03,405.606
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M02,405.636
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2024,M01,403.970
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M12,401.148
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M11,401.472
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M10,401.118
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M09,399.049
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M08,396.761
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M07,395.253
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M06,393.167
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M05,391.540
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M04,389.547
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M03,384.013
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M02,380.775
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2023,M01,378.715
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M12,374.717
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M11,370.333
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M10,367.193
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M09,365.306
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M08,361.908
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M07,353.929
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M06,350.376
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M05,345.113
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M04,341.221
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M03,337.849
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M02,337.027
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2022,M01,336.541
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M12,332.425
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M11,330.103
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M10,327.271
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M09,323.519
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M08,318.767
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M07,313.870
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M06,312.338
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M05,310.578
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M04,310.318
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M03,309.609
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M02,310.509
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2021,M01,308.985
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M12,307.515
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M11,307.104
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M10,304.456
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M09,302.509
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M08,300.301
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M07,299.068
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M06,299.069
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M05,298.442
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M04,297.520
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M03,297.805
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M02,297.566
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2020,M01,297.668
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M12,296.235
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M11,293.959
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M10,292.899
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M09,291.594
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M08,291.999
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M07,291.578
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M06,290.160
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M05,287.944
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M04,286.064
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M03,284.394
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M02,283.633
rent,Atlanta-Sandy Springs-Roswell,CUURS35CSEHA,2019,M01,282.115
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M10,441.471
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M09,438.909
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M08,435.514
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M07,433.209
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M06,432.195
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M05,429.751
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M04,428.090
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M03,426.604
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M02,427.393
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2024,M01,425.587
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M12,423.139
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M11,422.455
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M10,420.344
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M09,417.375
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M08,416.262
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M07,413.265
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M06,410.981
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M05,410.153
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M04,408.019
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M03,402.278
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M02,402.124
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2023,M01,398.456
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M12,397.427
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M11,397.640
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M10,394.480
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M09,395.235
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M08,395.609
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M07,394.915
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M06,391.062
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M05,382.789
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M04,380.335
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M03,376.158
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M02,375.145
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2022,M01,373.218
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M12,372.159
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M11,372.659
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M10,372.229
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M09,370.801
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M08,367.576
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M07,366.093
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M06,363.471
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M05,363.024
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M04,368.527
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M03,367.261
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M02,365.863
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2021,M01,366.220
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M12,366.082
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M11,367.550
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M10,372.278
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M09,370.668
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M08,370.328
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M07,369.797
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M06,368.177
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M05,366.671
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M04,368.940
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M03,369.091
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M02,367.044
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2020,M01,366.411
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M12,365.802
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M11,365.013
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M10,363.532
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M09,363.494
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M08,363.560
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M07,362.132
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M06,361.766
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M05,360.589
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M04,361.364
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M03,361.637
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M02,361.731
rent,Baltimore-Columbia-Towson,CUURS35ESEHA,2019,M01,362.781
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M10,459.641
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M09,458.397
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M08,457.081
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M07,452.413
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M06,451.233
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M05,450.107
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M04,448.314
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M03,444.443
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M02,442.582
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2024,M01,441.301
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M12,439.124
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M11,436.186
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M10,432.834
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M09,430.617
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M08,427.683
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M07,423.770
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M06,422.004
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M05,420.064
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M04,418.223
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M03,415.506
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M02,415.287
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2023,M01,411.385
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M12,406.576
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M11,403.537
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M10,401.530
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M09,399.536
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M08,395.694
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M07,394.186
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M06,392.245
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M05,388.190
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M04,386.973
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M03,385.422
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M02,383.669
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2022,M01,383.389
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M12,381.263
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M11,379.851
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M10,380.134
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M09,379.339
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M08,378.719
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M07,376.720
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M06,376.991
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M05,375.599
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M04,375.556
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M03,375.726
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M02,375.653
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2021,M01,375.135
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M12,375.097
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M11,375.595
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M10,374.695
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M09,375.284
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M08,372.555
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M07,370.972
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M06,370.773
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M05,370.109
rent,Boston-Cambridge-Newton,CUURS11ASEHA,2020,M04,369.300
