county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
1001,"Autauga County, Alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA",Montgomery,AL,MSA,Montgomery,AL,"Montgomery, AL"
1003,"Baldwin County, Alabama",C1930,"Daphne-Fairhope-Foley, AL MSA",CS380,"Mobile-Daphne-Fairhope, AL CSA",Daphne-Fairhope-Foley,AL,MSA,Daphne,AL,"Daphne, AL"
1007,"Bibb County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1009,"Blount County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1015,"Calhoun County, Alabama",C1150,"Anniston-Oxford, AL MSA",,,Anniston-Oxford,AL,MSA,Anniston,AL,"Anniston, AL"
1021,"Chilton County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1033,"Colbert County, Alabama",C2252,"Florence-Muscle Shoals, AL MSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA",Florence-Muscle Shoals,AL,MSA,Florence,AL,"Florence, AL"
1051,"Elmore County, Alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA",Montgomery,AL,MSA,Montgomery,AL,"Montgomery, AL"
1055,"Etowah County, Alabama",C2346,"Gadsden, AL MSA",,,Gadsden,AL,MSA,Gadsden,AL,"Gadsden, AL"
1061,"Geneva County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA",Dothan,AL,MSA,Dothan,AL,"Dothan, AL"
1063,"Greene County, Alabama",C4622,"Tuscaloosa, AL MSA",,,Tuscaloosa,AL,MSA,Tuscaloosa,AL,"Tuscaloosa, AL"
1065,"Hale County, Alabama",C4622,"Tuscaloosa, AL MSA",,,Tuscaloosa,AL,MSA,Tuscaloosa,AL,"Tuscaloosa, AL"
1067,"Henry County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA",Dothan,AL,MSA,Dothan,AL,"Dothan, AL"
1069,"Houston County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA",Dothan,AL,MSA,Dothan,AL,"Dothan, AL"
1073,"Jefferson County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA",Birmingham,AL,MSA,Birmingham,AL,"Birmingham, AL"
1077,"Lauderdale County, Alabama",C2252,"Florence-Muscle Shoals, AL MSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA",Florence-Muscle Shoals,AL,MSA,Florence,AL,"Florence, AL"
