regionname,vote_swing,msa
"abilene, tx",2.4035707342521584,"Abilene, TX MSAAbilene, TX MSAAbilene, TX MSA"
"aguadilla, pr",,"Aguadilla, PR MSAAguadilla, PR MSAAguadilla, PR MSAAguadilla, PR MSAAguadilla, PR MSAAguadilla, PR MSAAguadilla, PR MSA"
"akron, oh",1.465225754098698,"Akron, OH MSAAkron, OH MSA"
"albany, ga",0.8568089007409629,"Albany, GA MSAAlbany, GA MSAAlbany, GA MSAAlbany, GA MSA"
"albany, ny",3.2718927097434456,"Albany-Schenectady-Troy, NY MSAAlbany-Schenectady-Troy, NY MSAAlbany-Schenectady-Troy, NY MSAAlbany-Schenectady-Troy, NY MSAAlbany-Schenectady-Troy, NY MSA"
"albany, or",0.44375004124425077,"Albany, OR MSA"
"albuquerque, nm",1.8568667253241744,"Albuquerque, NM MSAAlbuquerque, NM MSAAlbuquerque, NM MSAAlbuquerque, NM MSA"
"alexandria, la",,"Alexandria, LA MSAAlexandria, LA MSA"
"allentown, pa",1.8285624743047568,"Allentown-Bethlehem-Easton, PA-NJ MSAAllentown-Bethlehem-Easton, PA-NJ MSAAllentown-Bethlehem-Easton, PA-NJ MSAAllentown-Bethlehem-Easton, PA-NJ MSA"
"altoona, pa",-0.08394289131480326,"Altoona, PA MSA"
"amarillo, tx",1.900271870503123,"Amarillo, TX MSAAmarillo, TX MSAAmarillo, TX MSAAmarillo, TX MSAAmarillo, TX MSA"
"ames, ia",3.4390643686951936,"Ames, IA MSAAmes, IA MSA"
"amherst town, ma",2.2262706023207066,"Amherst Town-Northampton, MA MSA"
"anchorage, ak",,"Anchorage, AK MSAAnchorage, AK MSA"
"ann arbor, mi",0.49893349502488915,"Ann Arbor, MI MSA"
"anniston, al",2.9086976023063538,"Anniston-Oxford, AL MSA"
"appleton, wi",0.30137782792233336,"Appleton, WI MSAAppleton, WI MSA"
"arecibo, pr",,"Arecibo, PR MSAArecibo, PR MSAArecibo, PR MSAArecibo, PR MSA"
"asheville, nc",-1.6918236203644466,"Asheville, NC MSAAsheville, NC MSAAsheville, NC MSA"
"athens, ga",2.4014037572119507,"Athens-Clarke County, GA MSAAthens-Clarke County, GA MSAAthens-Clarke County, GA MSAAthens-Clarke County, GA MSA"
"atlanta, ga",0.8054285096214919,"Atlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSAAtlanta-Sandy Springs-Roswell, GA MSA"
"atlantic city, nj",3.9700413216516353,"Atlantic City-Hammonton, NJ MSAAtlantic City-Hammonton, NJ MSA"
"auburn, al",4.334584837212219,"Auburn-Opelika, AL MSAAuburn-Opelika, AL MSA"
"augusta, ga",1.7963187961717808,"Augusta-Richmond County, GA-SC MSAAugusta-Richmond County, GA-SC MSAAugusta-Richmond County, GA-SC MSAAugusta-Richmond County, GA-SC MSAAugusta-Richmond County, GA-SC MSAAugusta-Richmond County, GA-SC MSAAugusta-Richmond County, GA-SC MSA"
"austin, tx",3.143517801372825,"Austin-Round Rock-San Marcos, TX MSAAustin-Round Rock-San Marcos, TX MSAAustin-Round Rock-San Marcos, TX MSAAustin-Round Rock-San Marcos, TX MSAAustin-Round Rock-San Marcos, TX MSA"
"bakersfield, ca",5.392081621214184,"Bakersfield-Delano, CA MSA"
"baltimore, md",0.7451885072011499,"Baltimore-Columbia-Towson, MD MSABaltimore-Columbia-Towson, MD MSABaltimore-Columbia-Towson, MD MSABaltimore-Columbia-Towson, MD MSABaltimore-Columbia-Towson, MD MSABaltimore-Columbia-Towson, MD MSABaltimore-Columbia-Towson, MD MSA"
"bangor, me",2.439113003295379,"Bangor, ME MSA"
"barnstable town, ma",2.1074161689674744,"Barnstable Town, MA MSA"
"baton rouge, la",,"Baton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSABaton Rouge, LA MSA"
"battle creek, mi",1.6375361881078687,"Battle Creek, MI MSA"
"bay city, mi",1.7470802725639278,"Bay City, MI MSA"
"beaumont, tx",3.69491188208807,"Beaumont-Port Arthur, TX MSABeaumont-Port Arthur, TX MSABeaumont-Port Arthur, TX MSA"
"beckley, wv",1.6200646179407308,"Beckley, WV MSABeckley, WV MSA"
"bellingham, wa",-0.7268561900152348,"Bellingham, WA MSA"
"bend, or",-0.7587061871260126,"Bend, OR MSABend, OR MSABend, OR MSA"
"billings, mt",1.4947658391571084,"Billings, MT MSABillings, MT MSABillings, MT MSA"
"binghamton, ny",2.332762112333725,"Binghamton, NY MSABinghamton, NY MSA"
"birmingham, al",1.6963321372373552,"Birmingham, AL MSABirmingham, AL MSABirmingham, AL MSABirmingham, AL MSABirmingham, AL MSABirmingham, AL MSABirmingham, AL MSA"
"bismarck, nd",1.52650462016648,"Bismarck, ND MSABismarck, ND MSABismarck, ND MSA"
"blacksburg, va",1.3989919918019456,"Blacksburg-Christiansburg-Radford, VA MSABlacksburg-Christiansburg-Radford, VA MSABlacksburg-Christiansburg-Radford, VA MSABlacksburg-Christiansburg-Radford, VA MSABlacksburg-Christiansburg-Radford, VA MSA"
"bloomington, il",-0.30374199238985544,"Bloomington, IL MSA"
"bloomington, in",0.6396413538790113,"Bloomington, IN MSABloomington, IN MSA"
"boise city, id",3.679002890127714,"Boise City, ID MSABoise City, ID MSABoise City, ID MSABoise City, ID MSABoise City, ID MSA"
"boston, ma",3.9183338819868907,"Boston-Cambridge-Newton, MA-NH MSABoston-Cambridge-Newton, MA-NH MSABoston-Cambridge-Newton, MA-NH MSABoston-Cambridge-Newton, MA-NH MSABoston-Cambridge-Newton, MA-NH MSABoston-Cambridge-Newton, MA-NH MSABoston-Cambridge-Newton, MA-NH MSA"
"boulder, co",0.1585532835938902,"Boulder, CO MSA"
"bowling green, ky",3.180178794273769,"Bowling Green, KY MSABowling Green, KY MSABowling Green, KY MSABowling Green, KY MSA"
"bozeman, mt",2.1205088818609052,"Bozeman, MT MSA"
"bremerton, wa",-1.1376279345298612,"Bremerton-Silverdale-Port Orchard, WA MSA"
"bridgeport, ct",,"Bridgeport-Stamford-Danbury, CT MSABridgeport-Stamford-Danbury, CT MSA"
"brownsville, tx",9.493783545898038,"Brownsville-Harlingen, TX MSA"
"brunswick, ga",1.9407822991277413,"Brunswick-St. Simons, GA MSABrunswick-St. Simons, GA MSABrunswick-St. Simons, GA MSA"
"buffalo, ny",3.4698689980180166,"Buffalo-Cheektowaga, NY MSABuffalo-Cheektowaga, NY MSA"
"burlington, nc",-0.13334300758685025,"Burlington, NC MSA"
"burlington, vt",1.2604322955439506,"Burlington-South Burlington, VT MSABurlington-South Burlington, VT MSABurlington-South Burlington, VT MSA"
"canton, oh",1.9585628159826785,"Canton-Massillon, OH MSACanton-Massillon, OH MSA"
"cape coral, fl",4.387667564013076,"Cape Coral-Fort Myers, FL MSA"
"cape girardeau, mo",1.184918642253352,"Cape Girardeau, MO-IL MSACape Girardeau, MO-IL MSACape Girardeau, MO-IL MSA"
"carson city, nv",,"Carson City, NV MSA"
"casper, wy",1.3255972545216266,"Casper, WY MSA"
"cedar rapids, ia",2.1330002519178715,"Cedar Rapids, IA MSACedar Rapids, IA MSACedar Rapids, IA MSA"
"chambersburg, pa",-0.042962625929798826,"Chambersburg, PA MSA"
"champaign, il",-0.3792645837984776,"Champaign-Urbana, IL MSAChampaign-Urbana, IL MSAChampaign-Urbana, IL MSA"
"charleston, sc",3.233093954126848,"Charleston-North Charleston, SC MSACharleston-North Charleston, SC MSACharleston-North Charleston, SC MSA"
"charleston, wv",1.0573070005304608,"Charleston, WV MSACharleston, WV MSACharleston, WV MSA"
"charlotte, nc",0.7745105556246967,"Charlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSACharlotte-Concord-Gastonia, NC-SC MSA"
"charlottesville, va",0.3160830494768119,"Charlottesville, VA MSACharlottesville, VA MSACharlottesville, VA MSACharlottesville, VA MSACharlottesville, VA MSA"
"chattanooga, tn",1.8465975363456844,"Chattanooga, TN-GA MSAChattanooga, TN-GA MSAChattanooga, TN-GA MSAChattanooga, TN-GA MSAChattanooga, TN-GA MSAChattanooga, TN-GA MSA"
"cheyenne, wy",3.0626736333302818,"Cheyenne, WY MSA"
"chicago, il",3.629306493156448,"Chicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSAChicago-Naperville-Elgin, IL-IN MSA"
"chico, ca",2.1691027801784113,"Chico, CA MSA"
"cincinnati, oh",1.0857425560623746,"Cincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSACincinnati, OH-KY-IN MSA"
"clarksville, tn",2.985693363501374,"Clarksville, TN-KY MSAClarksville, TN-KY MSAClarksville, TN-KY MSAClarksville, TN-KY MSA"
"cleveland, oh",1.6607384299710704,"Cleveland, OH MSACleveland, OH MSACleveland, OH MSACleveland, OH MSACleveland, OH MSACleveland, OH MSA"
"cleveland, tn",2.137652464517892,"Cleveland, TN MSACleveland, TN MSA"
"coeur d'alene, id",4.542314189332652,"Coeur d'Alene, ID MSA"
"college station, tx",5.448307967425459,"College Station-Bryan, TX MSACollege Station-Bryan, TX MSACollege Station-Bryan, TX MSA"
"colorado springs, co",-0.002424095079744948,"Colorado Springs, CO MSAColorado Springs, CO MSA"
"columbia, mo",1.4921438216370875,"Columbia, MO MSAColumbia, MO MSAColumbia, MO MSA"
"columbia, sc",2.618450457401317,"Columbia, SC MSAColumbia, SC MSAColumbia, SC MSAColumbia, SC MSAColumbia, SC MSAColumbia, SC MSA"
"columbus, ga",1.706604080486701,"Columbus, GA-AL MSAColumbus, GA-AL MSAColumbus, GA-AL MSAColumbus, GA-AL MSAColumbus, GA-AL MSAColumbus, GA-AL MSAColumbus, GA-AL MSA"
"columbus, in",0.5904952216820414,"Columbus, IN MSA"
"columbus, oh",1.5299739238699706,"Columbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSAColumbus, OH MSA"
"corpus christi, tx",4.43178651966517,"Corpus Christi, TX MSACorpus Christi, TX MSACorpus Christi, TX MSA"
"corvallis, or",0.06438871152011916,"Corvallis, OR MSA"
"crestview, fl",2.2904755510529506,"Crestview-Fort Walton Beach-Destin, FL MSACrestview-Fort Walton Beach-Destin, FL MSA"
"dallas, tx",3.6465646577460706,"Dallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSADallas-Fort Worth-Arlington, TX MSA"
"dalton, ga",1.9868149542126678,"Dalton, GA MSADalton, GA MSA"
"daphne, al",2.1916403700491305,"Daphne-Fairhope-Foley, AL MSA"
"davenport, ia",2.384809438068647,"Davenport-Moline-Rock Island, IA-IL MSADavenport-Moline-Rock Island, IA-IL MSADavenport-Moline-Rock Island, IA-IL MSADavenport-Moline-Rock Island, IA-IL MSA"
"dayton, oh",0.9057193916085282,"Dayton-Kettering-Beavercreek, OH MSADayton-Kettering-Beavercreek, OH MSADayton-Kettering-Beavercreek, OH MSA"
"decatur, al",2.2286445859665327,"Decatur, AL MSADecatur, AL MSA"
"decatur, il",0.6985526013246091,"Decatur, IL MSA"
"deltona, fl",3.719071878504776,"Deltona-Daytona Beach-Ormond Beach, FL MSADeltona-Daytona Beach-Ormond Beach, FL MSA"
"denver, co",1.8218502352105648,"Denver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSADenver-Aurora-Centennial, CO MSA"
"des moines, ia",2.1244893337652284,"Des Moines-West Des Moines, IA MSADes Moines-West Des Moines, IA MSADes Moines-West Des Moines, IA MSADes Moines-West Des Moines, IA MSADes Moines-West Des Moines, IA MSADes Moines-West Des Moines, IA MSA"
"detroit, mi",2.511444482394337,"Detroit-Warren-Dearborn, MI MSADetroit-Warren-Dearborn, MI MSADetroit-Warren-Dearborn, MI MSADetroit-Warren-Dearborn, MI MSADetroit-Warren-Dearborn, MI MSADetroit-Warren-Dearborn, MI MSA"
"dothan, al",2.6436118521885987,"Dothan, AL MSADothan, AL MSADothan, AL MSA"
