regionname,vote_swing,msa_short
"abilene, tx",2.4035707342521584,"abilene, tx"
"aguadilla, pr",,"aguadilla, pr"
"akron, oh",1.465225754098698,"akron, oh"
"albany, ga",0.8568089007409629,"albany, ga"
"albany, ny",3.2718927097434456,"albany, ny"
"albany, or",0.44375004124425077,"albany, or"
"albuquerque, nm",1.8568667253241744,"albuquerque, nm"
"alexandria, la",,"alexandria, la"
"altoona, pa",-0.08394289131480326,"altoona, pa"
"amarillo, tx",1.900271870503123,"amarillo, tx"
"ames, ia",3.4390643686951936,"ames, ia"
"amherst town, ma",2.2262706023207066,"amherst town, ma"
"anchorage, ak",,"anchorage, ak"
"ann arbor, mi",0.49893349502488915,"ann arbor, mi"
"anniston, al",2.9086976023063538,"anniston, al"
"appleton, wi",0.30137782792233336,"appleton, wi"
"arecibo, pr",,"arecibo, pr"
"asheville, nc",-1.6918236203644466,"asheville, nc"
"athens, ga",2.4014037572119507,"athens, ga"
"atlanta, ga",0.8054285096214919,"atlanta, ga"
"atlantic city, nj",3.9700413216516353,"atlantic city, nj"
"auburn, al",4.334584837212219,"auburn, al"
"austin, tx",3.143517801372825,"austin, tx"
"bakersfield, ca",5.392081621214184,"bakersfield, ca"
"baltimore, md",0.7451885072011499,"baltimore, md"
"bangor, me",2.439113003295379,"bangor, me"
"barnstable town, ma",2.1074161689674744,"barnstable town, ma"
"baton rouge, la",,"baton rouge, la"
"battle creek, mi",1.6375361881078687,"battle creek, mi"
"bay city, mi",1.7470802725639278,"bay city, mi"
"beaumont, tx",3.69491188208807,"beaumont, tx"
"beckley, wv",1.6200646179407308,"beckley, wv"
"bellingham, wa",-0.7268561900152348,"bellingham, wa"
"bend, or",-0.7587061871260126,"bend, or"
"billings, mt",1.4947658391571084,"billings, mt"
"binghamton, ny",2.332762112333725,"binghamton, ny"
"birmingham, al",1.6963321372373552,"birmingham, al"
"bismarck, nd",1.52650462016648,"bismarck, nd"
"blacksburg, va",1.3989919918019456,"blacksburg, va"
"bloomington, il",-0.30374199238985544,"bloomington, il"
"bloomington, in",0.6396413538790113,"bloomington, in"
"boise city, id",3.679002890127714,"boise city, id"
"boulder, co",0.1585532835938902,"boulder, co"
"bowling green, ky",3.180178794273769,"bowling green, ky"
"bozeman, mt",2.1205088818609052,"bozeman, mt"
"bremerton, wa",-1.1376279345298612,"bremerton, wa"
"bridgeport, ct",,"bridgeport, ct"
"brownsville, tx",9.493783545898038,"brownsville, tx"
"brunswick, ga",1.9407822991277413,"brunswick, ga"
"buffalo, ny",3.4698689980180166,"buffalo, ny"
"burlington, nc",-0.13334300758685025,"burlington, nc"
"burlington, vt",1.2604322955439506,"burlington, vt"
"canton, oh",1.9585628159826785,"canton, oh"
"cape coral, fl",4.387667564013076,"cape coral, fl"
"carson city, nv",,"carson city, nv"
"casper, wy",1.3255972545216266,"casper, wy"
"cedar rapids, ia",2.1330002519178715,"cedar rapids, ia"
"chambersburg, pa",-0.042962625929798826,"chambersburg, pa"
"champaign, il",-0.3792645837984776,"champaign, il"
"charleston, sc",3.233093954126848,"charleston, sc"
"charleston, wv",1.0573070005304608,"charleston, wv"
"charlottesville, va",0.3160830494768119,"charlottesville, va"
"cheyenne, wy",3.0626736333302818,"cheyenne, wy"
"chico, ca",2.1691027801784113,"chico, ca"
"cleveland, oh",1.6607384299710704,"cleveland, oh"
"cleveland, tn",2.137652464517892,"cleveland, tn"
"coeur d'alene, id",4.542314189332652,"coeur d'alene, id"
"college station, tx",5.448307967425459,"college station, tx"
"colorado springs, co",-0.002424095079744948,"colorado springs, co"
"columbia, mo",1.4921438216370875,"columbia, mo"
