regionname,inflation,vote_swing,msa_short
"aberdeen, wa",,,
"abilene, tx",27.78312682389447,2.4035707342521584,"abilene, tx"
"ada, ok",,,
"adrian, mi",,,
"aguadilla, pr",,,"aguadilla, pr"
"akron, oh",37.68634152056808,1.465225754098698,"akron, oh"
"alamogordo, nm",,,
"albany, ga",35.493160988766824,0.8568089007409629,"albany, ga"
"albany, ny",26.948290051129852,3.2718927097434456,"albany, ny"
"albany, or",,0.44375004124425077,"albany, or"
"albemarle, nc",,,
"albuquerque, nm",39.31816071701753,1.8568667253241744,"albuquerque, nm"
"alexandria, la",,,"alexandria, la"
"allentown, pa",31.637525863739214,,
"altoona, pa",,-0.08394289131480326,"altoona, pa"
"altus, ok",,,
"amarillo, tx",25.23859648700878,1.900271870503123,"amarillo, tx"
"ames, ia",16.120915206337646,3.4390643686951936,"ames, ia"
"amherst town, ma",,2.2262706023207066,"amherst town, ma"
"amsterdam, ny",,,
"anchorage, ak",28.89849785416889,,"anchorage, ak"
"ann arbor, mi",31.91862501214114,0.49893349502488915,"ann arbor, mi"
"anniston, al",,2.9086976023063538,"anniston, al"
"appleton, wi",,0.30137782792233336,"appleton, wi"
"ardmore, ok",,,
"arecibo, pr",,,"arecibo, pr"
"asheville, nc",41.943306001330896,-1.6918236203644466,"asheville, nc"
"ashland, oh",,,
"astoria, or",,,
"athens, ga",40.3936822312793,2.4014037572119507,"athens, ga"
"athens, oh",,,
"athens, tn",,,
"athens, tx",,,
"atlanta, ga",29.2394745316748,0.8054285096214919,"atlanta, ga"
"atlantic city, nj",48.09306198529408,3.9700413216516353,"atlantic city, nj"
"auburn, al",37.55863043919208,4.334584837212219,"auburn, al"
"auburn, in",,,
"auburn, ny",,,
"augusta, ga",32.78834581221416,,
"augusta, me",44.76951858372731,,
"austin, mn",,,
"austin, tx",20.76855796861012,3.143517801372825,"austin, tx"
"bakersfield, ca",37.02426073066246,5.392081621214184,"bakersfield, ca"
"baltimore, md",24.858320385578477,0.7451885072011499,"baltimore, md"
"bangor, me",36.62873423797832,2.439113003295379,"bangor, me"
"baraboo, wi",,,
"bardstown, ky",,,
"barnstable town, ma",44.031499948643486,2.1074161689674744,"barnstable town, ma"
"barre, vt",,,
"bartlesville, ok",,,
"batesville, ar",,,
"baton rouge, la",19.404959984531235,,"baton rouge, la"
"battle creek, mi",,1.6375361881078687,"battle creek, mi"
"bay city, mi",,1.7470802725639278,"bay city, mi"
"bay city, tx",,,
"beatrice, ne",,,
"beaumont, tx",22.73210857077757,3.69491188208807,"beaumont, tx"
